approx,basic_nvbt601,basic_nvbt709,basic_intel601,basic_intel709,fma_nvbt601,fma_nvbt709,fma_intel601,fma_intel601fp16,fma_intel709
0.806317,0.118576,0.118576,0.0216851,0.114228,0.144747,0.118576,0.0216851,0.0200205,0.114228
0.754632,0.205347,0.197492,0.110976,0.193123,0.190994,0.197492,0.110976,0.112236,0.193123
0.545635,0.107246,0.0980107,0.0912669,0.0993378,0.187583,0.0980107,0.0912669,0.0872465,0.0993378
0.441804,0.0679284,0.0679284,0.0142143,0.0689475,0.142772,0.0679284,0.0142143,0.00831742,0.0689475
0.856896,0.157339,0.155124,0.0872022,0.150054,0.178084,0.155124,0.0872022,0.0897245,0.150054
0.547868,0.123911,0.117334,0.109882,0.118893,0.208825,0.117334,0.109882,0.117652,0.118893
0.268158,0.0554343,0.0560695,0.0258374,0.0582804,0.134048,0.0560695,0.0258374,0.0177277,0.0582804
0.575463,0.0928519,0.0913438,0.0652782,0.0911963,0.170527,0.0913438,0.0652782,0.0821801,0.0911963
0.110195,0.0773874,0.0773874,0.0233541,0.0793023,0.144329,0.0773874,0.0233541,0.012412,0.0793023
0.354116,0.133481,0.125096,0.0886682,0.126503,0.197453,0.125096,0.0886682,0.0904141,0.126503
0.948884,0.270136,0.270136,0.0287921,0.260332,0.146787,0.270136,0.0287921,0.0360461,0.260332
0.978141,0.0936819,0.0909884,0.0500536,0.0877019,0.131389,0.0909884,0.0500536,0.0505308,0.0877019
0.382628,0.129965,0.123152,0.0948579,0.124084,0.188619,0.123152,0.0948578,0.0897886,0.124084
0.279851,0.0732966,0.0727771,0.0153827,0.074636,0.147529,0.0727771,0.0153827,0.0424228,0.074636
0.444065,0.101456,0.0938563,0.0908886,0.093548,0.132571,0.0938563,0.0908886,0.0919904,0.093548
0.822441,0.0793096,0.0773451,0.0669036,0.0770927,0.147892,0.0773451,0.0669036,0.064876,0.0770927
0.20215,0.0588294,0.0595879,0.0344621,0.0612723,0.127062,0.0595879,0.0344621,0.0296148,0.0612723
0.469541,0.0562846,0.0559784,0.0265233,0.0573442,0.137864,0.0559784,0.0265233,0.0398311,0.0573442
0.345572,0.0716672,0.0691497,0.0509034,0.0701384,0.131069,0.0691497,0.0509034,0.0512031,0.0701384
0.626584,0.220709,0.201534,0.199671,0.20268,0.291134,0.201534,0.199671,0.2,0.20268
0.445342,0.0917265,0.085668,0.0884457,0.0857076,0.129942,0.085668,0.0884457,0.085062,0.0857076
